player,country,team,goal,penalty
Moussa Sissoko,France,Toulouse FC,1,0
Benjamin Stambouli,France,Montpellier HSC,1,0
Issiaga Sylla,Guinea,Toulouse FC,1,0
Kévin Théophile-Catherine,France,Stade Rennes,1,0
 Thiago Motta,Italy,Paris Saint-Germain,1,0
Benoît Trémoulinas,France,Girondins Bordeaux,1,0
 Túlio de Melo,Brazil,Lille OSC,1,0
Samuel Umtiti,France,Olympique Lyon,1,0
Gregory van der Wiel,Netherlands,Paris Saint-Germain,1,0
Anthony Weber,France,Stade Reims,1,0
Sambou Yatabaré,Mali,SC Bastia,1,0
Simon Zenke,Nigeria,AS Nancy,1,0
Florent Zitte,France,AS Nancy,1,0
Ronald Zubar,Guadeloupe,AC Ajaccio,1,0
